P,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000
0.35,22.096,27.541,32.757,37.866,42.913,47.92,52.901,57.86,62.804,67.737,72.659,77.574,82.483,87.386,92.285,97.181,102.074,106.964,111.852
0.36,22.194,27.674,32.92,38.057,43.132,48.166,53.172,58.158,63.127,68.084,73.032,77.971,82.905,87.832,92.756,97.676,102.592,107.507,112.418
0.37,22.289,27.803,33.08,38.244,43.345,48.406,53.437,58.448,63.442,68.424,73.395,78.359,83.316,88.267,93.215,98.158,103.098,108.035,112.971
0.38,22.383,27.93,33.235,38.427,43.554,48.64,53.696,58.731,63.749,68.755,73.75,78.737,83.717,88.692,93.662,98.628,103.591,108.551,113.509
0.39,22.474,28.054,33.387,38.605,43.758,48.868,53.949,59.007,64.049,69.078,74.096,79.106,84.109,89.106,94.099,99.087,104.072,109.055,114.035
0.4,22.564,28.175,33.536,38.78,43.957,49.091,54.195,59.277,64.342,69.393,74.434,79.466,84.491,89.511,94.525,99.535,104.542,109.546,114.548
0.41,22.652,28.293,33.682,38.951,44.152,49.31,54.437,59.541,64.628,69.702,74.765,79.819,84.865,89.906,94.942,99.973,105.002,110.027,115.049
0.42,22.738,28.409,33.824,39.118,44.343,49.524,54.673,59.8,64.909,70.004,75.088,80.163,85.231,90.293,95.349,100.402,105.451,110.496,115.539
0.43,22.823,28.523,33.964,39.282,44.53,49.733,54.905,60.053,65.183,70.299,75.405,80.5,85.589,90.671,95.748,100.821,105.89,110.956,116.019
0.44,22.906,28.635,34.101,39.442,44.713,49.938,55.131,60.301,65.452,70.589,75.715,80.831,85.939,91.042,96.139,101.231,106.32,111.406,116.488
0.45,22.988,28.745,34.236,39.6,44.893,50.139,55.353,60.544,65.715,70.873,76.018,81.154,86.283,91.405,96.521,101.633,106.741,111.846,116.948
0.46,23.069,28.852,34.368,39.755,45.069,50.337,55.571,60.782,65.974,71.151,76.316,81.472,86.619,91.76,96.896,102.027,107.154,112.278,117.399
0.47,23.149,28.958,34.497,39.906,45.242,50.53,55.785,61.016,66.227,71.424,76.608,81.783,86.949,92.109,97.264,102.413,107.559,112.701,117.84
0.48,23.227,29.063,34.625,40.056,45.412,50.72,55.995,61.245,66.476,71.691,76.895,82.088,87.273,92.452,97.624,102.792,107.956,113.116,118.273
0.49,23.304,29.165,34.75,40.202,45.579,50.907,56.202,61.471,66.72,71.954,77.176,82.388,87.591,92.788,97.978,103.164,108.345,113.523,118.698
0.5,23.381,29.266,34.874,40.347,45.743,51.091,56.404,61.692,66.96,72.213,77.452,82.682,87.903,93.117,98.326,103.529,108.728,113.923,119.115
0.51,23.456,29.366,34.995,40.488,45.905,51.271,56.603,61.91,67.196,72.466,77.724,82.971,88.21,93.442,98.667,103.887,109.103,114.316,119.525
0.52,23.53,29.464,35.115,40.628,46.064,51.449,56.799,62.124,67.428,72.716,77.991,83.256,88.511,93.76,99.002,104.24,109.473,114.702,119.927
0.53,23.604,29.561,35.233,40.766,46.22,51.624,56.992,62.334,67.656,72.961,78.253,83.535,88.808,94.073,99.332,104.586,109.835,115.081,120.323
0.54,23.677,29.656,35.349,40.901,46.374,51.796,57.182,62.541,67.88,73.202,78.512,83.81,89.099,94.381,99.656,104.926,110.192,115.454,120.712
0.55,23.749,29.75,35.463,41.035,46.526,51.965,57.369,62.745,68.101,73.44,78.766,84.08,89.386,94.684,99.975,105.261,110.543,115.82,121.094
