Pressure_bars,H2O_liq,CO2_liq,XH2O_fl,XCO2_fl,FluidProportion_wt
2460.0,5.49905483714585,0.04933780186442,0.792840477677089,0.207159522322911,0.0017017825684886303
2412.8,5.49428389293524,0.0462289066310346,0.802191501569695,0.197808498430305,0.010043671329262595
2365.6000000000004,5.48892402369614,0.04314422355756,0.811776157382502,0.188223842617498,0.018981841153491486
2318.4000000000005,5.48286326976428,0.0400880639613845,0.82159170872787,0.17840829127213,0.028629880649515597
2271.2000000000007,5.47596161399859,0.0370656976371023,0.831631116875847,0.168368883124153,0.03912993221430369
2224.000000000001,5.4680427449027,0.0340836247166204,0.841881355322424,0.158118644677576,0.05066106626688411
2176.800000000001,5.45888338462324,0.0311499249539156,0.852321138229093,0.147678861770907,0.06345012332855043
2129.6000000000013,5.44819975866772,0.0282746957471569,0.862917912994298,0.137082087005702,0.07778544564512796
2082.4000000000015,5.4356311456627,0.0254705758278739,0.873624009402795,0.126375990597205,0.0940335461151015
2035.2000000000016,5.4207214450368,0.0227533152131796,0.884371996642655,0.115628003357345,0.11265773512713695
1988.0000000000018,5.40276992801567,0.0201147151623032,0.895109847816515,0.104890152183485,0.13440392672417706
1940.800000000002,5.38078970422247,0.0175394608618267,0.905771305044352,0.0942286949556482,0.160325746445197
1893.6000000000022,5.35433370260265,0.0151427577978629,0.916076745510176,0.0839232544898246,0.1907667133680669
1846.4000000000024,5.32252920081763,0.012950648193822,0.925856230658616,0.0741437693413843,0.22661093157858306
1799.2000000000025,5.28454685153826,0.0109860821796762,0.934934927336937,0.0650650726630625,0.2686959487391027
1752.0000000000027,5.23974649050775,0.00926400824802782,0.943160906203681,0.0568390937963194,0.31766370233027175
1704.800000000003,5.18781658738259,0.00778706565375738,0.95043518702395,0.0495648129760502,0.3738184732136702
1657.600000000003,5.12883886159049,0.00654413950052926,0.956730360658163,0.0432696393418371,0.43706179608963386
1610.4000000000033,5.06324192420496,0.00551273639329227,0.962088483932532,0.0379115160674674,0.5069409314932936
1563.2000000000035,4.99167311975802,0.00466389586667758,0.966601278915567,0.0333987210844326,0.5827806707477824
1516.0000000000036,4.91485494842756,0.00396726513012458,0.970384375568782,0.0296156244312177,0.6638304248396861
1468.8000000000038,4.83347709977523,0.00339467923250691,0.973556060255972,0.0264439397440277,0.7493745049408229
1421.600000000004,4.74813825607591,0.00292191253165887,0.976224493171183,0.0237755068288173,0.8387913112804158
1374.4000000000042,4.65932716006898,0.00252907261163632,0.978482323339446,0.0215176766605542,0.9315723300497297
1327.2000000000044,4.56742634725504,0.00220025686238619,0.980405959109566,0.0195940408904336,1.0273179921612605
1280.0000000000045,4.47272559629395,0.00192292569185556,0.982057112413663,0.0179428875863375,1.1257236548998097
1232.8000000000047,4.37543757811734,0.00168724272211317,0.983485126438485,0.0165148735615152,1.2265633897360086
1185.600000000005,4.27571219926149,0.00148549016551769,0.984729329500493,0.0152706704995072,1.3296751451586
1138.400000000005,4.17364841334798,0.00131159044021772,0.985821104344149,0.0141788956558514,1.43494852312731
1091.2000000000053,4.06930335462018,0.00116073038237438,0.986785590459937,0.0132144095400634,1.5423153055889394
1044.0000000000055,3.96269906461778,0.00102907217642405,0.98764303724054,0.0123569627594598,1.65174244317322
996.8000000000056,3.85382718191032,0.000913533142332228,0.988409860789561,0.011590139210439,1.7632271185863393
949.6000000000058,3.74265192870688,0.000811618478930822,0.989099462662879,0.0109005373371212,1.8767935346393512
902.400000000006,3.62911164365984,0.000721294086325765,0.989722862758695,0.0102771372413049,1.9924911627614292
855.2000000000062,3.51311901237865,0.00064088951238535,0.990289189262284,0.00971081073771654,2.110394286313239
808.0000000000064,3.39456004609998,0.000569023504355881,0.990806059426751,0.00919394057324919,2.2306027735891876
760.8000000000065,3.27329175200577,0.000504546557178458,0.991279877216781,0.00872012278321859,2.3532441203450585
713.6000000000067,3.14913831560063,0.000446496309747169,0.991716067676926,0.0082839323230735,2.478476920752339
666.4000000000069,3.02188545838521,0.000394062592673749,0.992119263140885,0.00788073685911532,2.6064960761465876
619.2000000000071,2.89127241508425,0.000346560151364712,0.992493452938387,0.00750654706161308,2.737540258328939
572.0000000000073,2.75698064318598,0.000303406803219799,0.992842105567189,0.00715789443281116,2.8719024584282895
524.8000000000075,2.61861785255257,0.000264106284638691,0.993168270712608,0.00683172928739212,3.0099449463332393
477.60000000000764,2.47569506027892,0.000228234517332177,0.993474667336909,0.00652533266309081,3.1521207983297064
430.4000000000078,2.32759282808092,0.000195428697204267,0.993763763879802,0.00623623612019839,3.2990056083638195
383.200000000008,2.17350997415374,0.000165378683690016,0.994037857412474,0.00596214258752602,3.4513456979399
336.0000000000082,2.01238242613415,0.000137820357495735,0.994299161270927,0.00570083872907309,3.6101344400397197
288.80000000000837,1.84274801837098,0.000112530788233278,0.994549917279001,0.0054500827209994,3.7767394930018385
241.60000000000855,1.66250569604396,8.93252934315653e-05,0.994792564720354,0.00520743527964647,3.9531295131350093
194.40000000000873,1.46844691788339,6.80568924343977e-05,0.99503004066997,0.00496995933002993,4.142315549369119
147.2000000000089,1.25522354916273,4.86196517252342e-05,0.99526641608029,0.00473358391971044,4.349323680883329
5.0,0.208623277677444,1.25022271109616e-06,0.996155037352555,0.00384496264744516,5.352542187970157
1.0,0.0920483499727736,2.4212756724651e-07,0.996233116037882,0.0037668839621179,5.462980004080138
