Pressure,H2O_liq,CO2_liq,XH2O_fl
1000.0,0.0,0.059554847741293174,
1000.0,0.07951219211972899,0.05997857610487137,
1000.0,0.15902438423945797,0.060301995271310846,
1000.0,0.23853657635918696,0.06052714894919482,
1000.0,0.31804876847891594,0.06065608084710649,
1000.0,0.39756096059864493,0.06069083467362904,
1000.0,0.4770731527183739,0.06063345413734568,
1000.0,0.5565853448381028,0.0604859829468396,
1000.0,0.6360975369578319,0.060250464810694,
1000.0,0.7156097290775609,0.05992894343749208,
1000.0,0.7951219211972899,0.05952346253581704,
1000.0,0.8746341133170188,0.059036065814252074,
1000.0,0.9541463054367478,0.058468796981380376,
1000.0,1.0336584975564769,0.057823699745785155,
1000.0,1.1131706896762057,0.0571028178160496,
1000.0,1.1926828817959347,0.05630819490075692,
1000.0,1.2721950739156638,0.055441874708490296,
1000.0,1.3517072660353928,0.05450590094783293,
1000.0,1.4312194581551219,0.053502317327368036,
1000.0,1.5107316502748507,0.0524331675556788,
1000.0,1.5902438423945797,0.05130049534134841,
1000.0,1.6697560345143088,0.050106344392960085,
1000.0,1.7492682266340376,0.04885275841909701,
1000.0,1.8287804187537666,0.047541781128342384,
1000.0,1.9082926108734957,0.046175456229279405,
1000.0,1.9878048029932247,0.04475582743049128,
1000.0,2.0673169951129537,0.04328493844056119,
1000.0,2.1468291872326826,0.041764832968072346,
1000.0,2.2263413793524114,0.04019755472160795,
1000.0,2.3058535714721407,0.03858514740975118,
1000.0,2.3853657635918695,0.036929654741085255,
1000.0,2.4648779557115987,0.035233120424193354,
1000.0,2.5443901478313276,0.03349758816765869,
1000.0,2.6239023399510564,0.03172510168006446,
1000.0,2.7034145320707856,0.029917704669993845,
1000.0,2.7829267241905145,0.02807744084603008,
1000.0,2.8624389163102437,0.02620635391675631,
1000.0,2.9419511084299725,0.02430648759075578,
1000.0,3.0214633005497014,0.02237988557661167,
1000.0,3.1009754926694306,0.020428591582907163,
1000.0,3.1804876847891594,0.018454649318225498,
1000.0,3.2599998769088883,0.016460102491149833,
1000.0,3.3395120690286175,0.014446994810263382,
1000.0,3.4190242611483463,0.012417369984149329,
1000.0,3.498536453268075,0.010373271721390895,
1000.0,3.5780486453878044,0.008316743730571265,
1000.0,3.6575608375075332,0.006249829720273631,
1000.0,3.7370730296272625,0.0041745733990811995,
1000.0,3.8165852217469913,0.002093018475577177,
1000.0,3.89609741386672,7.208658344755314e-06,
2000.0,0.0,0.11381518383167365,
2000.0,0.1222387259541647,0.11505300686249137,
2000.0,0.2444774519083294,0.1160789071401202,
2000.0,0.3667161778624941,0.1168969436062106,
2000.0,0.4889549038166588,0.117511175202413,
2000.0,0.6111936297708235,0.11792566087037785,
2000.0,0.7334323557249882,0.11814445955175559,
2000.0,0.8556710816791528,0.11817163018819667,
2000.0,0.9779098076333176,0.1180112317213515,
2000.0,1.1001485335874823,0.11766732309287056,
2000.0,1.222387259541647,0.11714396324440426,
2000.0,1.3446259854958116,0.11644521111760307,
2000.0,1.4668647114499764,0.11557512565411743,
2000.0,1.589103437404141,0.11453776579559775,
2000.0,1.7113421633583057,0.11333719048369449,
2000.0,1.8335808893124705,0.11197745866005811,
2000.0,1.9558196152666352,0.11046262926633903,
2000.0,2.0780583412208,0.10879676124418769,
2000.0,2.2002970671749646,0.10698391353525455,
2000.0,2.3225357931291293,0.10502814508119003,
2000.0,2.444774519083294,0.1029335148236446,
2000.0,2.5670132450374585,0.10070408170426867,
2000.0,2.689251970991623,0.09834390466471271,
2000.0,2.8114906969457882,0.09585704264662713,
2000.0,2.933729422899953,0.0932475545916624,
2000.0,3.0559681488541175,0.09051949944146896,
2000.0,3.178206874808282,0.08767693613769723,
2000.0,3.3004456007624468,0.08472392362199768,
2000.0,3.4226843267166114,0.08166452083602072,
2000.0,3.5449230526707765,0.0785027867214168,
2000.0,3.667161778624941,0.07524278021983641,
2000.0,3.7894005045791057,0.07188856027292992,
2000.0,3.9116392305332703,0.06844418582234782,
2000.0,4.033877956487435,0.06491371580974051,
2000.0,4.1561166824416,0.0613012091767585,
2000.0,4.278355408395765,0.05761072486505217,
2000.0,4.400594134349929,0.053846321816271976,
2000.0,4.522832860304094,0.05001205897206837,
2000.0,4.6450715862582586,0.046111995274091794,
2000.0,4.767310312212423,0.042150189663992685,
2000.0,4.889549038166588,0.03813070108342147,
2000.0,5.011787764120752,0.03405758847402862,
2000.0,5.134026490074917,0.029934910777464574,
2000.0,5.256265216029082,0.025766726935379736,
2000.0,5.378503941983246,0.021557095889424574,
2000.0,5.500742667937412,0.017310076581249487,
2000.0,5.6229813938915765,0.013029727952505024,
2000.0,5.745220119845741,0.00872010894484157,
2000.0,5.867458845799906,0.004385278499909523,
2000.0,5.98969757175407,2.9295559359376888e-05,
,0.0,0.0,0.0
,0.0,0.0595530842246487,0.0
,0.0,0.113804660187597,0.0
,0.0,0.0,1.0
,0.1222387259541647,0.0,1.0
,0.2444774519083294,0.0,1.0
,0.3667161778624941,0.0,1.0
,0.4889549038166588,0.0,1.0
,0.6111936297708235,0.0,1.0
,0.7334323557249882,0.0,1.0
,0.8556710816791528,0.0,1.0
,0.9779098076333176,0.0,1.0
,1.1001485335874823,0.0,1.0
,1.222387259541647,0.0,1.0
,1.3446259854958116,0.0,1.0
,1.4668647114499764,0.0,1.0
,1.589103437404141,0.0,1.0
,1.7113421633583057,0.0,1.0
,1.8335808893124705,0.0,1.0
,1.9558196152666352,0.0,1.0
,2.0780583412208,0.0,1.0
,2.2002970671749646,0.0,1.0
,2.3225357931291293,0.0,1.0
